date,hour,count,casual,reg,season,holiday,weekday,workingday,weathersit,temp,hum
2012-09-12,18:00h,977,91,886,3,0,Thursday,1,1,0.66,0.44
2012-09-20,17:00h,976,91,885,3,0,Friday,1,1,0.64,0.5
2012-09-11,17:00h,970,168,802,3,0,Wednesday,1,1,0.7,0.28
2012-09-10,18:00h,968,111,857,3,0,Tuesday,1,1,0.62,0.35
2012-09-25,17:00h,967,107,860,4,0,Wednesday,1,1,0.66,0.39
2012-10-24,17:00h,963,87,876,4,0,Thursday,1,1,0.66,0.47
2012-03-23,17:00h,957,264,693,2,0,Saturday,1,2,0.72,0.42
2012-09-26,17:00h,953,77,876,4,0,Thursday,1,1,0.74,0.48
2012-10-10,17:00h,948,91,857,4,0,Thursday,1,1,0.58,0.43
2012-10-16,17:00h,943,104,839,4,0,Wednesday,1,1,0.52,0.39
2012-08-23,18:00h,941,130,811,3,0,Friday,1,1,0.74,0.48
2012-10-23,17:00h,938,67,871,4,0,Wednesday,1,1,0.68,0.41
2012-09-12,17:00h,925,114,811,3,0,Thursday,1,1,0.7,0.41
2012-10-22,17:00h,922,84,838,4,0,Tuesday,1,1,0.62,0.33
2012-10-03,17:00h,917,84,833,4,0,Thursday,1,1,0.7,0.65
2012-07-25,17:00h,913,130,783,3,0,Thursday,1,1,0.8,0.31
2012-09-27,17:00h,905,87,818,4,0,Friday,1,2,0.66,0.69
2012-10-04,17:00h,901,112,789,4,0,Friday,1,1,0.7,0.51
2012-10-05,17:00h,900,158,742,4,0,Saturday,1,1,0.7,0.42
2012-09-20,18:00h,900,119,781,3,0,Friday,1,1,0.6,0.56
2012-06-26,17:00h,900,104,796,3,0,Wednesday,1,1,0.72,0.28
2012-09-27,18:00h,899,77,822,4,0,Friday,1,2,0.66,0.69
2012-09-24,17:00h,898,89,809,4,0,Tuesday,1,1,0.58,0.3
2012-08-16,17:00h,897,130,767,3,0,Friday,1,1,0.82,0.34
2012-09-14,17:00h,894,137,757,3,0,Saturday,1,1,0.72,0.51
2012-08-20,17:00h,893,83,810,3,0,Tuesday,1,1,0.7,0.58
2012-09-19,18:00h,892,85,807,3,0,Thursday,1,1,0.58,0.4
2012-07-25,18:00h,891,104,787,3,0,Thursday,1,1,0.8,0.27
