,Season,Month,Hour (24hr),Weekday,Work Day Status,Weather Situation,Unregistered Users,Registered Users,Total User Count
0,Winter,January,0,Saturday,0,1,3,13,16
1,Winter,January,1,Saturday,0,1,8,32,40
2,Winter,January,2,Saturday,0,1,5,27,32
3,Winter,January,3,Saturday,0,1,3,10,13
4,Winter,January,4,Saturday,0,1,0,1,1
5,Winter,January,5,Saturday,0,2,0,1,1
6,Winter,January,6,Saturday,0,1,2,0,2
7,Winter,January,7,Saturday,0,1,1,2,3
8,Winter,January,8,Saturday,0,1,1,7,8
9,Winter,January,9,Saturday,0,1,8,6,14
10,Winter,January,10,Saturday,0,1,12,24,36
11,Winter,January,11,Saturday,0,1,26,30,56
12,Winter,January,12,Saturday,0,1,29,55,84
13,Winter,January,13,Saturday,0,2,47,47,94
14,Winter,January,14,Saturday,0,2,35,71,106
15,Winter,January,15,Saturday,0,2,40,70,110
16,Winter,January,16,Saturday,0,2,41,52,93
17,Winter,January,17,Saturday,0,2,15,52,67
18,Winter,January,18,Saturday,0,3,9,26,35
19,Winter,January,19,Saturday,0,3,6,31,37
20,Winter,January,20,Saturday,0,2,11,25,36
21,Winter,January,21,Saturday,0,2,3,31,34
22,Winter,January,22,Saturday,0,2,11,17,28
23,Winter,January,23,Saturday,0,2,15,24,39
24,Winter,January,0,Sunday,0,2,4,13,17
25,Winter,January,1,Sunday,0,2,1,16,17
26,Winter,January,2,Sunday,0,2,1,8,9
27,Winter,January,3,Sunday,0,2,2,4,6
28,Winter,January,4,Sunday,0,2,2,1,3
29,Winter,January,6,Sunday,0,3,0,2,2
30,Winter,January,7,Sunday,0,2,0,1,1
31,Winter,January,8,Sunday,0,3,0,8,8
32,Winter,January,9,Sunday,0,2,1,19,20
33,Winter,January,10,Sunday,0,2,7,46,53
34,Winter,January,11,Sunday,0,2,16,54,70
35,Winter,January,12,Sunday,0,2,20,73,93
36,Winter,January,13,Sunday,0,2,11,64,75
37,Winter,January,14,Sunday,0,3,4,55,59
38,Winter,January,15,Sunday,0,3,19,55,74
39,Winter,January,16,Sunday,0,3,9,67,76
40,Winter,January,17,Sunday,0,1,7,58,65
41,Winter,January,18,Sunday,0,2,10,43,53
42,Winter,January,19,Sunday,0,1,1,29,30
43,Winter,January,20,Sunday,0,1,5,17,22
44,Winter,January,21,Sunday,0,1,11,20,31
45,Winter,January,22,Sunday,0,1,0,9,9
46,Winter,January,23,Sunday,0,1,0,8,8
47,Winter,January,0,Monday,1,1,0,5,5
48,Winter,January,1,Monday,1,1,0,2,2
49,Winter,January,4,Monday,1,1,0,1,1
50,Winter,January,5,Monday,1,1,0,3,3
51,Winter,January,6,Monday,1,1,0,30,30
52,Winter,January,7,Monday,1,1,1,63,64
53,Winter,January,8,Monday,1,1,1,153,154
54,Winter,January,9,Monday,1,1,7,81,88
55,Winter,January,10,Monday,1,1,11,33,44
56,Winter,January,11,Monday,1,1,10,41,51
57,Winter,January,12,Monday,1,1,13,48,61
58,Winter,January,13,Monday,1,1,8,53,61
59,Winter,January,14,Monday,1,1,11,66,77
60,Winter,January,15,Monday,1,1,14,58,72
61,Winter,January,16,Monday,1,1,9,67,76
62,Winter,January,17,Monday,1,1,11,146,157
63,Winter,January,18,Monday,1,1,9,148,157
64,Winter,January,19,Monday,1,1,8,102,110
65,Winter,January,20,Monday,1,1,3,49,52
66,Winter,January,21,Monday,1,1,3,49,52
67,Winter,January,22,Monday,1,1,0,20,20
68,Winter,January,23,Monday,1,1,1,11,12
69,Winter,January,0,Tuesday,1,1,0,5,5
70,Winter,January,1,Tuesday,1,1,0,2,2
71,Winter,January,2,Tuesday,1,1,0,1,1
72,Winter,January,4,Tuesday,1,1,0,2,2
73,Winter,January,5,Tuesday,1,1,0,4,4
74,Winter,January,6,Tuesday,1,1,0,36,36
75,Winter,January,7,Tuesday,1,1,2,92,94
76,Winter,January,8,Tuesday,1,1,2,177,179
77,Winter,January,9,Tuesday,1,1,2,98,100
78,Winter,January,10,Tuesday,1,2,5,37,42
79,Winter,January,11,Tuesday,1,1,7,50,57
80,Winter,January,12,Tuesday,1,1,12,66,78
81,Winter,January,13,Tuesday,1,1,18,79,97
82,Winter,January,14,Tuesday,1,1,9,54,63
83,Winter,January,15,Tuesday,1,1,17,48,65
84,Winter,January,16,Tuesday,1,1,15,68,83
85,Winter,January,17,Tuesday,1,1,10,202,212
86,Winter,January,18,Tuesday,1,1,3,179,182
87,Winter,January,19,Tuesday,1,1,2,110,112
88,Winter,January,20,Tuesday,1,1,1,53,54
89,Winter,January,21,Tuesday,1,1,0,48,48
90,Winter,January,22,Tuesday,1,1,1,34,35
91,Winter,January,23,Tuesday,1,1,2,9,11
92,Winter,January,0,Wednesday,1,1,0,6,6
93,Winter,January,1,Wednesday,1,1,0,6,6
94,Winter,January,2,Wednesday,1,1,0,2,2
95,Winter,January,4,Wednesday,1,1,0,2,2
96,Winter,January,5,Wednesday,1,1,0,3,3
97,Winter,January,6,Wednesday,1,1,0,33,33
98,Winter,January,7,Wednesday,1,1,1,87,88
99,Winter,January,8,Wednesday,1,1,3,192,195
100,Winter,January,9,Wednesday,1,1,6,109,115
101,Winter,January,10,Wednesday,1,1,4,53,57
102,Winter,January,11,Wednesday,1,1,12,34,46
103,Winter,January,12,Wednesday,1,1,5,74,79
104,Winter,January,13,Wednesday,1,1,6,65,71
105,Winter,January,14,Wednesday,1,1,10,52,62
106,Winter,January,15,Wednesday,1,1,7,55,62
107,Winter,January,16,Wednesday,1,1,4,85,89
108,Winter,January,17,Wednesday,1,1,4,186,190
109,Winter,January,18,Wednesday,1,1,3,166,169
110,Winter,January,19,Wednesday,1,1,5,127,132
111,Winter,January,20,Wednesday,1,1,7,82,89
112,Winter,January,21,Wednesday,1,1,3,40,43
113,Winter,January,22,Wednesday,1,1,1,41,42
114,Winter,January,23,Wednesday,1,1,1,18,19
115,Winter,January,0,Thursday,1,1,0,11,11
116,Winter,January,1,Thursday,1,1,0,4,4
117,Winter,January,2,Thursday,1,1,0,2,2
118,Winter,January,4,Thursday,1,2,0,1,1
119,Winter,January,5,Thursday,1,2,0,4,4
120,Winter,January,6,Thursday,1,2,0,36,36
121,Winter,January,7,Thursday,1,2,0,95,95
122,Winter,January,8,Thursday,1,1,3,216,219
123,Winter,January,9,Thursday,1,2,6,116,122
124,Winter,January,10,Thursday,1,1,3,42,45
125,Winter,January,11,Thursday,1,1,2,57,59
126,Winter,January,12,Thursday,1,1,6,78,84
127,Winter,January,13,Thursday,1,1,12,55,67
128,Winter,January,14,Thursday,1,1,11,59,70
129,Winter,January,15,Thursday,1,1,8,54,62
130,Winter,January,16,Thursday,1,1,12,74,86
131,Winter,January,17,Thursday,1,1,9,163,172
132,Winter,January,18,Thursday,1,1,5,158,163
133,Winter,January,19,Thursday,1,1,3,109,112
134,Winter,January,20,Thursday,1,1,3,66,69
135,Winter,January,21,Thursday,1,2,0,48,48
136,Winter,January,22,Thursday,1,2,1,51,52
137,Winter,January,23,Thursday,1,2,4,19,23
138,Winter,January,0,Friday,1,2,4,13,17
139,Winter,January,1,Friday,1,2,2,5,7
140,Winter,January,2,Friday,1,2,0,1,1
141,Winter,January,4,Friday,1,2,0,1,1
142,Winter,January,5,Friday,1,3,0,5,5
143,Winter,January,6,Friday,1,2,8,26,34
144,Winter,January,7,Friday,1,1,8,76,84
145,Winter,January,8,Friday,1,1,20,190,210
146,Winter,January,9,Friday,1,1,9,125,134
147,Winter,January,10,Friday,1,1,16,47,63
148,Winter,January,11,Friday,1,2,19,48,67
149,Winter,January,12,Friday,1,2,9,50,59
150,Winter,January,13,Friday,1,2,9,64,73
151,Winter,January,14,Friday,1,2,7,43,50
152,Winter,January,15,Friday,1,2,9,63,72
153,Winter,January,16,Friday,1,2,5,82,87
154,Winter,January,17,Friday,1,2,9,178,187
155,Winter,January,18,Friday,1,1,7,116,123
156,Winter,January,19,Friday,1,1,3,92,95
157,Winter,January,20,Friday,1,1,1,50,51
158,Winter,January,21,Friday,1,1,0,39,39
159,Winter,January,22,Friday,1,2,2,34,36
160,Winter,January,23,Friday,1,2,1,14,15
161,Winter,January,0,Saturday,0,2,1,24,25
162,Winter,January,1,Saturday,0,2,1,15,16
163,Winter,January,2,Saturday,0,2,3,13,16
164,Winter,January,3,Saturday,0,3,0,7,7
165,Winter,January,4,Saturday,0,3,0,1,1
166,Winter,January,5,Saturday,0,2,0,5,5
167,Winter,January,6,Saturday,0,2,0,2,2
168,Winter,January,7,Saturday,0,2,1,8,9
169,Winter,January,8,Saturday,0,3,0,15,15
170,Winter,January,9,Saturday,0,3,0,20,20
171,Winter,January,10,Saturday,0,2,5,56,61
